product_id,product_name,category,sub_category,base_price,cost_price,season,profit_per_unit,profit_margin_pct,is_winter,is_summer,is_all_season
P001,Men's Basic T-shirt,Men,Shirt,19.99,7.0,All,12.99,65.0,True,True,True
P002,Men's Premium T-shirt,Men,Shirt,29.99,11.0,All,18.99,63.3,True,True,True
P003,Men's Slim Jeans,Men,Pants,49.99,18.0,All,31.99,64.0,True,True,True
P004,Men's Chino Pants,Men,Pants,44.99,15.0,All,29.99,66.7,True,True,True
P005,Men's Hoodie,Men,Jacket,59.99,22.0,Winter,37.99,63.3,True,False,False
P006,Men's Puffer Jacket,Men,Jacket,89.99,35.0,Winter,54.99,61.1,True,False,False
P007,Men's Polo Shirt,Men,Shirt,34.99,12.0,Summer,22.99,65.7,False,True,False
P008,Women's Floral Dress,Women,Dress,54.99,20.0,Summer,34.99,63.6,False,True,False
P009,Women's Casual Dress,Women,Dress,44.99,16.0,All,28.99,64.4,True,True,True
P010,Women's Blouse,Women,Top,34.99,12.0,All,22.99,65.7,True,True,True
P011,Women's Skirt,Women,Skirt,39.99,14.0,Summer,25.99,65.0,False,True,False
P012,Women's Skinny Jeans,Women,Pants,54.99,20.0,All,34.99,63.6,True,True,True
P013,Women's Hoodie,Women,Jacket,59.99,22.0,Winter,37.99,63.3,True,False,False
P014,Women's Puffer Jacket,Women,Jacket,84.99,32.0,Winter,52.99,62.3,True,False,False
P015,Women's Cardigan,Women,Top,49.99,18.0,Winter,31.99,64.0,True,False,False
P016,Kids T-shirt,Kids,Shirt,14.99,5.0,All,9.99,66.6,True,True,True
P017,Kids Jeans,Kids,Pants,29.99,10.0,All,19.99,66.7,True,True,True
P018,Kids Jacket,Kids,Jacket,44.99,16.0,Winter,28.99,64.4,True,False,False
P019,Kids Dress,Kids,Dress,24.99,9.0,Summer,15.99,64.0,False,True,False
P020,Unisex Cap,All,Accessories,14.99,4.0,All,10.99,73.3,True,True,True
P021,Unisex Socks (3-pack),All,Accessories,9.99,2.5,All,7.49,75.0,True,True,True
P022,Leather Belt,All,Accessories,19.99,6.0,All,13.99,70.0,True,True,True
P023,Canvas Tote Bag,All,Accessories,24.99,8.0,All,16.99,68.0,True,True,True
P024,Men's Swim Shorts,Men,Swimwear,29.99,10.0,Summer,19.99,66.7,False,True,False
P025,Women's Swimsuit,Women,Swimwear,44.99,16.0,Summer,28.99,64.4,False,True,False
